long,lat,height-above-ellipsoid
10.4672159,49.1187267,552.5
10.4672283,49.1187369,554.2
10.4672343,49.1187408,555.0
10.4672338,49.1187389,555.4
10.4672359,49.118739,556.2
10.4673739,49.1188139,570.7
10.4673558,49.1188108,567.1
10.4673441,49.1188031,566.3
10.4673334,49.1187919,565.3
10.4673339,49.118789,565.3
10.467352,49.1183783,625.2
10.467372,49.1183659,628.3
10.4673931,49.1183526,631.2
10.4674051,49.1183451,632.8
10.4674163,49.1183406,633.9
10.4670897,49.118954,546.8
10.467065,49.118902,545.1
10.4670533,49.118876,544.3
10.4670435,49.1188554,543.7
10.4670353,49.1188407,543.3
10.4672423,49.1192827,558.1
10.4672315,49.1192781,558.2
10.4672309,49.1192782,558.0
10.4672267,49.1192769,557.9
10.4672194,49.1192749,558.3
10.4676631,49.1190265,543.2
10.4669204,49.1193597,524.0
10.4669122,49.119355,524.5
10.4669045,49.1193501,524.9
10.4668941,49.1193446,525.8
10.4668801,49.1193401,526.3
10.4668658,49.1193346,526.9
10.4669024,49.1193396,526.9
10.4669849,49.1193319,527.0
10.4670312,49.1193391,532.4
10.4670804,49.1193809,533.8
10.4671166,49.1194153,532.3
10.4671483,49.1194085,532.3
10.4671818,49.1194195,536.1
10.4672073,49.119444,540.3
10.4672228,49.1194964,541.7
10.4672416,49.1195759,541.5
10.4672517,49.1196935,542.4
10.4673436,49.1198244,538.4
10.4674252,49.1199085,538.6
10.4675113,49.1199912,538.8
10.4675925,49.1200811,539.1
10.4676819,49.1201707,538.0
10.4677652,49.1202544,537.8
10.4678458,49.12033,538.3
10.4679288,49.1204016,538.7
10.4680079,49.1204678,538.8
10.4680949,49.1205289,537.9
10.4681871,49.1205838,537.2
10.4682862,49.1206403,536.3
10.4683849,49.120702,535.6
10.4684929,49.1207613,535.5
10.4686156,49.1208106,535.9
10.4687408,49.1208525,536.1
10.46886,49.1208992,536.3
10.4689621,49.1209458,536.5
10.4690605,49.1209975,537.0
10.4691536,49.121056,537.2
10.4692492,49.1211093,537.0
10.4693644,49.1211502,536.0
10.4694874,49.1211776,535.9
10.4696065,49.1211893,536.9
10.4696889,49.1211947,538.7
10.4697364,49.1212072,538.5
10.4698168,49.1212371,535.4
10.4699076,49.1212936,536.2
10.4700037,49.1213407,535.7
10.4701143,49.1213797,535.4
10.4702259,49.12141,536.1
10.4703272,49.1214481,536.0
10.4704089,49.1214998,535.8
10.4704727,49.121562,536.3
10.4705324,49.1216262,536.5
10.4705937,49.1216852,536.2
10.470647,49.1217389,536.7
10.47071,49.1217758,537.8
10.4707869,49.1218009,537.1
10.4708752,49.1218239,537.1
10.4709697,49.1218436,537.3
10.4710795,49.1218582,536.4
10.47119,49.1218725,535.9
10.4713022,49.1218865,535.7
10.4714229,49.1218968,535.7
10.471541,49.1219031,536.0
10.4716596,49.121909,535.5
10.4717833,49.1219171,534.8
10.4718902,49.1219364,534.9
10.4720017,49.1219631,534.6
10.4721171,49.1219886,535.2
10.4722161,49.1220096,535.2
10.4723208,49.1220372,534.2
10.4724426,49.1220529,533.6
10.4725772,49.1220505,534.3
10.4726929,49.1220459,536.4
10.4727478,49.1220377,539.0
10.4727611,49.1220313,538.8
10.4727622,49.1220323,538.9
10.4727622,49.1220368,539.5
10.4727608,49.1220398,539.6
10.4727585,49.1220406,539.7
10.4716913,49.1208277,552.6
10.4629598,49.1169145,538.2
10.4593109,49.1159814,500.4
10.4574478,49.1214056,520.8
10.4574675,49.1215071,523.7
10.4575123,49.1216003,524.8
10.4575811,49.1216786,525.6
10.4576557,49.1217566,526.6
10.4577225,49.1218319,527.0
10.4577834,49.1219103,527.3
10.457828,49.1219891,528.2
10.4578574,49.1220504,528.3
10.4578477,49.1221113,528.4
10.457838,49.122175,531.9
10.4578285,49.1222018,535.3
10.4578233,49.1222097,535.2
10.4578306,49.1222107,535.2
10.4578353,49.1222111,535.5
10.4578365,49.1222125,535.3
10.4578424,49.1222135,535.4
10.464332,49.1251761,527.5
10.4632314,49.1242177,502.2
10.4659604,49.1257738,513.0
10.4655817,49.1256043,476.5
10.4648252,49.1251458,532.7
10.4648259,49.1251203,547.5
10.4688137,49.1277594,534.6
10.3957373,49.0402441,843.3
10.3956332,49.0401625,842.7
10.3955496,49.0400735,843.4
10.3954709,49.0399901,844.2
10.3953923,49.03992,845.0
10.3953089,49.0398623,844.7
10.3952204,49.0398121,845.0
10.3951355,49.0397569,844.6
10.3950534,49.0396966,844.0
10.3949601,49.0396483,842.4
10.39487,49.0395922,841.4
10.3947844,49.0395281,840.7
10.394698,49.0394652,839.5
10.3946014,49.0394148,838.8
10.3945037,49.0393685,837.5
10.3944122,49.0393119,836.1
10.3943149,49.0392582,834.6
10.3942136,49.0392041,833.8
10.3941125,49.0391503,832.3
10.3940084,49.0390966,830.5
10.393906,49.0390373,829.1
10.3938055,49.0389716,827.8
10.393703,49.038907,826.7
10.3935968,49.0388456,825.8
10.3934954,49.03878,825.5
10.3933969,49.0387177,824.1
10.3932934,49.0386615,823.4
10.3931885,49.0386063,821.6
10.3930798,49.0385479,818.8
10.3929648,49.0384836,817.0
10.3928534,49.0384102,817.3
10.3927502,49.0383407,818.5
10.3926509,49.0382863,818.8
10.3925532,49.0382389,818.6
10.3924505,49.0381975,818.9
10.3923479,49.0381639,819.7
10.39225,49.0381282,819.8
10.3921564,49.0380833,819.8
10.3920697,49.0380262,818.8
10.3919756,49.0379646,817.1
10.3918694,49.0379043,815.5
10.3917537,49.0378451,814.0
10.3916382,49.0377815,814.1
10.3915272,49.0377259,814.4
10.3914261,49.0376829,816.3
10.391348,49.0376469,818.1
10.3912796,49.0376254,819.0
10.3912151,49.0376176,819.2
10.3911433,49.0376282,820.5
10.3910824,49.0376145,822.2
10.3910312,49.0375832,822.6
10.3909679,49.0375637,822.4
10.3908939,49.0375729,823.1
10.3908455,49.0376086,823.3
10.3908287,49.0376643,823.8
10.3908227,49.0377263,824.8
